"Config:   ","DummyConfg","
"Rad_SM02  ",A,
"Rad_SM03  ",A,
"Rad_SM04  ",A,
"Rad_SM05  ",A,
"NPPoreS12 ",A,
"MACNUTSM01",A,
"MACNUTSM02",A,
"MACNUTSM03",A,
"MACNUTSM04",A,
"MACNUTSM05",A,
"MacroPhyt1",A,
"SM01_Upt3D",A,
"MacroPhyt2",A,
"SM02_Upt3D",A,
"MacroPhyt3",A,
"SM03_Upt3D",A,
"MacroPhyt4",A,
"SM04_Upt3D",A,
"MacroPhyt5",A,
"SM05_Upt3D",A,
"GRZMAC01  ",A,
"GRZMACO2  ",A,
"GRZMAC03  ",A,
"GRZMAC04  ",A,
"GRZMAC05  ",A,
"HRVMAC01  ",A,
"HRVMACO2  ",A,
"HRVMAC03  ",A,
"HRVMAC04  ",A,
"HRVMAC05  ",A,
"DEBGRZ_M  ",A,
"DEBGRZ_Z  ",A,
"DEBGRZ_G3 ",A,
"DEBGRZ_G4 ",A,
"DEBGRZ_G5 ",A,
"Dredge    ",A,
"IM_Floceq ",A,
"AtmDep_Sal",A,
"AtmDep_Ecl",A,
"AttribOut ",A,
"Cascade   ",A,
"Decay1    ",A,
"Decay2    ",A,
"Decay3    ",A,
"Decay4    ",A,
"Decay5    ",A,
"CalTemp   ",A,
"TEO       ",A,
"Virus1Mrt ",A,
"Virus2Mrt ",A,
"Virus3Mrt ",A,
"Vir1S1Mrt ",A,
"Vir2S1Mrt ",A,
"Vir3S1Mrt ",A,
"PartWKVir1",A,
"PartWKVir2",A,
"PartWKVir3",A,
"PartS1Vir1",A,
"PartS1Vir2",A,
"PartS1Vir3",A,
"Sed_Virus1",A,
"Sed_Virus2",A,
"Sed_Virus3",A,
"DELWAQG   ",A,
"MPBNUT    ",A,
"MPB1Temp  ",A,
"MPB2Temp  ",A,
"MPB1LLim  ",A,
"MPB2LLim  ",A,
"MPB1NLim  ",A,
"MPB2NLim  ",A,
"MPBenthos ",A,
"VB01Procs ",A,
"VB02Procs ",A,
"VB03Procs ",A,
"VB04Procs ",A,
"VB05Procs ",A,
"VB06Procs ",A,
"VB07Procs ",A,
"VB08Procs ",A,
"VB09Procs ",A,
"VBSum     ",A,
"PropSing  ",A,
"PropTagg  ",A,
"htragg    ",A,
"SedTyre   ",A,
"SedTAgg   ",A,
"SumTRWP   ",A,
